levelAvailable,name,brand,style,color,rarity,price,level1Offense,level1Defense,level1Fitness,level1QuantityRequiredToUpgrade,level1CredsRequiredToUpgrade,level2Offense,level2Defense,level2Fitness,level2QuantityRequiredToUpgrade,level2CredsRequiredToUpgrade,level3Offense,level3Defense,level3Fitness,level3QuantityRequiredToUpgrade,level3CredsRequiredToUpgrade,level4Offense,level4Defense,level4Fitness,level4QuantityRequiredToUpgrade,level4CredsRequiredToUpgrade,level5Offense,level5Defense,level5Fitness
3,Clippers Tee,HOMAGE,T-shirt,Red,All-Star,N/A,0,2,2,3,150,1,2,2,5,500,1,3,2,7,1000,1,3,3,10,2500,2,3,3
3,Grizzlies Tee,HOMAGE,T-shirt,Yellow,All-Star,N/A,0,2,2,3,150,1,2,2,5,500,1,3,2,7,1000,1,3,3,10,2500,2,3,3
3,Booker Cover Tee,SLAM,T-shirt,Black,All-Star,250,3,0,1,3,150,3,0,2,5,500,3,1,2,7,1000,3,1,3,10,2500,4,1,3
3,Rose Cover Tee,SLAM,T-shirt,Black,All-Star,250,3,0,1,3,150,3,0,2,5,500,3,1,2,7,1000,3,1,3,10,2500,4,1,3
3,SLAM Tee,SLAM,T-shirt,Black,All-Star,125,3,0,1,3,150,3,0,2,5,500,3,1,2,7,1000,?,1,?,10,2500,4,1,3
3,SLAM Tee,SLAM,T-shirt,Gray,All-Star,125,3,0,1,3,150,3,0,2,5,500,3,1,2,7,1000,?,1,?,10,2500,4,1,3
3,SLAM Tee,SLAM,T-shirt,White,All-Star,125,3,0,1,3,150,3,0,2,5,500,3,1,2,7,1000,?,1,?,10,2500,4,1,3
3,Celtics Sweatshirt,Todd Snyder,Hoodie,White,All-Star,125,1,2,1,3,150,1,3,1,5,500,1,3,2,7,1000,1,4,2,10,2500,2,4,2
3,Hawks Sweatshirt,Todd Snyder,Hoodie,White,All-Star,125,1,2,1,3,150,1,3,1,5,500,1,3,2,7,1000,1,4,2,10,2500,2,4,2
4,AW Tee,All-World,T-shirt,Black,Starter,125,3,0,1,3,150,3,1,1,5,500,3,1,2,7,1000,4,1,2,10,2500,4,1,3
4,AW Tee,All-World,T-shirt,Orange,Starter,125,3,0,1,3,150,3,1,1,5,500,3,1,2,7,1000,4,1,2,10,2500,4,1,3
4,AW Tee,All-World,T-shirt,Yellow,Starter,125,3,0,1,3,150,3,1,1,5,500,3,1,2,7,1000,4,1,2,10,2500,4,1,3
4,WBT Sleeveless,Adidas,Hoodie,Carbon/Blue,All-Star,N/A,0,1,4,3,150,1,1,4,5,500,1,2,4,7,1000,2,2,4,10,2500,2,2,5
4,WBT Sleeveless,Adidas,Hoodie,Utility Gray,All-Star,N/A,0,1,4,3,150,1,1,4,5,500,1,2,4,7,1000,2,2,4,10,2500,2,2,5
4,Hawks Tee,HOMAGE,T-shirt,Gray,All-Star,N/A,1,2,2,3,150,1,3,2,5,500,2,3,2,7,1000,2,3,3,10,2500,3,3,3
4,Hawks Tee,HOMAGE,T-shirt,Red,All-Star,N/A,1,2,2,3,150,1,3,2,5,500,2,3,2,7,1000,2,3,3,10,2500,3,3,3
4,Heat Tee,HOMAGE,T-shirt,Gray,All-Star,N/A,1,2,2,3,150,1,3,2,5,500,2,3,2,7,1000,2,3,3,10,2500,3,3,3
4,Anthony Edwards Cover Tee,SLAM,T-shirt,Black,All-Star,250,3,1,1,3,150,3,1,2,5,500,3,1,3,7,1000,4,1,3,10,2500,4,2,3
4,Lamelo Tee,SLAM,T-shirt,Black,All-Star,250,3,1,1,3,150,3,1,2,5,500,3,1,3,7,1000,4,1,3,10,2500,4,2,3
4,Lamelo Tee,SLAM,T-shirt,White,All-Star,250,3,1,1,3,150,3,1,2,5,500,3,1,3,7,1000,4,1,3,10,2500,4,2,3
4,Knicks Sweatshirt,Todd Snyder,Hoodie,White,All-Star,150,1,3,1,3,150,2,3,1,5,500,2,3,2,7,1000,2,4,2,10,2500,3,4,2
4,Lakers Sweatshirt,Todd Snyder,Hoodie,White,All-Star,150,1,3,1,3,150,2,3,1,5,500,2,3,2,7,1000,2,4,2,10,2500,3,4,2
5,AW Tee Gray Stars,All-World,T-shirt,Blue,Starter,150,3,1,1,3,150,3,1,2,5,500,4,1,2,7,1000,4,2,2,10,2500,4,2,3
5,AW Tee Yellow Stars,All-World,T-shirt,Black,Starter,150,3,1,1,3,150,3,1,2,5,500,4,1,2,7,1000,4,2,2,10,2500,4,2,3
5,Hornets Tee,HOMAGE,T-shirt,Cyan,All-Star,N/A,1,3,2,3,150,2,3,2,5,500,2,3,3,7,1000,3,3,3,10,2500,3,4,3
5,Jazz Tee,HOMAGE,T-shirt,Yellow,All-Star,N/A,1,3,2,3,150,2,3,2,5,500,2,3,3,7,1000,3,3,3,10,2500,3,4,3
5,Kings Tee,HOMAGE,T-shirt,Purple,All-Star,N/A,1,3,2,3,150,2,3,2,5,500,2,3,3,7,1000,3,3,3,10,2500,3,4,3
5,Kyrie Cover Tee,SLAM,T-shirt,Black,All-Star,250,3,1,2,3,150,4,1,2,5,500,4,1,3,7,1000,4,2,3,10,2500,5,2,3
5,Memphis Cover Tee,SLAM,T-shirt,Black,All-Star,250,3,1,2,3,150,4,1,2,5,500,4,1,3,7,1000,4,2,3,10,2500,5,2,3
5,Tatum Cover Tee,SLAM,T-shirt,Black,All-Star,250,3,1,2,3,150,4,1,2,5,500,4,1,3,7,1000,4,2,3,10,2500,5,2,3
5,Nets Sweatshirt,Todd Snyder,Hoodie,White,All-Star,250,2,3,1,3,150,2,3,2,5,500,2,4,2,7,1000,3,4,2,10,2500,4,4,2
5,Warriors Sweatshirt,Todd Snyder,Hoodie,White,All-Star,250,2,3,1,3,150,2,3,2,5,500,2,4,2,7,1000,3,4,2,10,2500,4,4,2
6,AW Jersey,All-World,Jersey,Black,Starter,175,3,1,2,3,150,4,1,2,5,500,4,2,2,7,1000,4,2,3,10,2500,4,3,3
6,AW Jersey,All-World,Jersey,Blue,Starter,175,3,1,2,3,150,4,1,2,5,500,4,2,2,7,1000,4,2,3,10,2500,4,3,3
6,AW Jersey,All-World,Jersey,Purple,Starter,175,3,1,2,3,150,4,1,2,5,500,4,2,2,7,1000,4,2,3,10,2500,4,3,3
6,AW Jersey,All-World,Jersey,Red,Starter,175,3,1,2,3,150,4,1,2,5,500,4,2,2,7,1000,4,2,3,10,2500,4,3,3
6,AW Jersey,All-World,Jersey,White,Starter,175,3,1,2,3,150,4,1,2,5,500,4,2,2,7,1000,4,2,3,10,2500,4,3,3
6,365 Tee,Adidas,T-shirt,Blue,All-Star,N/A,2,1,4,3,150,2,2,4,5,500,3,2,4,7,1000,3,2,5,10,2500,3,2,6
6,365 Tee,Adidas,T-shirt,Gray,All-Star,N/A,2,1,4,3,150,2,2,4,5,500,3,2,4,7,1000,3,2,5,10,2500,3,2,6
6,Knicks Tee,HOMAGE,T-shirt,Blue,All-Star,N/A,2,3,2,3,150,2,3,3,5,500,3,3,3,7,1000,3,4,3,10,2500,3,4,4
6,Lakers Tee,HOMAGE,T-shirt,Purple,All-Star,N/A,2,3,2,3,150,2,3,3,5,500,3,3,3,7,1000,3,4,3,10,2500,3,4,4
6,Magic Tee,HOMAGE,T-shirt,Black,All-Star,N/A,2,3,2,3,150,2,3,3,5,500,3,3,3,7,1000,3,4,3,10,2500,3,4,4
6,Cade Cover Tee,SLAM,T-shirt,Black,All-Star,250,4,1,2,3,150,4,1,3,5,500,4,2,3,7,1000,5,2,3,10,2500,5,3,3
6,Curry Cover Tee,SLAM,T-shirt,Black,All-Star,250,4,1,2,3,150,4,1,3,5,500,4,2,3,7,1000,5,2,3,10,2500,5,3,3
6,Giannis Cover Tee,SLAM,T-shirt,Black,All-Star,250,4,1,2,3,150,4,1,3,5,500,4,2,3,7,1000,5,2,3,10,2500,5,3,3
7,Short Sleeve Excel,All-World,Hoodie,Black,Starter,200,0,3,4,3,150,0,4,4,5,500,0,4,5,7,1000,1,4,5,10,2500,1,5,5
7,Short Sleeve Excel,All-World,Hoodie,Blue,Starter,200,0,3,4,3,150,0,4,4,5,500,0,4,5,7,1000,1,4,5,10,2500,1,5,5
7,Short Sleeve Excel,All-World,Hoodie,Red,Starter,200,0,3,4,3,150,0,4,4,5,500,0,4,5,7,1000,1,4,5,10,2500,1,5,5
7,Short Sleeve Excel,All-World,Hoodie,White,Starter,200,0,3,4,3,150,0,4,4,5,500,0,4,5,7,1000,1,4,5,10,2500,1,5,5
7,Short Sleeve Excel,All-World,Hoodie,Yellow,Starter,200,0,3,4,3,150,0,4,4,5,500,0,4,5,7,1000,1,4,5,10,2500,1,5,5
7,WBT Tank,Adidas,Tank Top,Carbon/Blue,All-Star,N/A,2,2,4,3,150,3,2,4,5,500,3,2,5,7,1000,3,2,6,10,2500,3,3,6
7,WBT Tank,Adidas,Tank Top,Gray,All-Star,N/A,2,2,4,3,150,3,2,4,5,500,3,2,5,7,1000,3,2,6,10,2500,3,3,6
7,Mavs Tee,HOMAGE,T-shirt,Light Blue,All-Star,N/A,2,3,3,3,150,3,3,3,5,500,3,4,3,7,1000,3,4,4,10,2500,4,4,4
7,Nets Tee,HOMAGE,T-shirt,Black,All-Star,N/A,2,3,3,3,150,3,3,3,5,500,3,4,3,7,1000,3,4,4,10,2500,4,4,4
7,Nuggets Tee,HOMAGE,T-shirt,Yellow,All-Star,N/A,2,3,3,3,150,3,3,3,5,500,3,4,3,7,1000,3,4,4,10,2500,4,4,4
8,Short Sleeve Wave,All-World,Hoodie,Gray,Starter,225,0,4,4,3,150,1,4,4,5,500,1,4,5,7,1000,2,4,5,10,2500,2,5,5
8,Short Sleeve Wave,All-World,Hoodie,Pink,Starter,225,0,4,4,3,150,1,4,4,5,500,1,4,5,7,1000,2,4,5,10,2500,2,5,5
8,Short Sleeve Wave,All-World,Hoodie,Purple,Starter,225,0,4,4,3,150,1,4,4,5,500,1,4,5,7,1000,2,4,5,10,2500,2,5,5
8,Short Sleeve Wave,All-World,Hoodie,Rainbow,Starter,225,0,4,4,3,150,1,4,4,5,500,1,4,5,7,1000,2,4,5,10,2500,2,5,5
8,Short Sleeve Wave,All-World,Hoodie,Yellow,Starter,225,0,4,4,3,150,1,4,4,5,500,1,4,5,7,1000,2,4,5,10,2500,2,5,5
8,Pacers Tee,HOMAGE,T-shirt,Light Blue,All-Star,N/A,3,3,3,3,150,3,4,3,5,500,3,4,4,7,1000,4,4,4,10,2500,4,5,4
8,Pelicans Tee,HOMAGE,T-shirt,Navy Blue,All-Star,N/A,3,3,3,3,150,3,4,3,5,500,3,4,4,7,1000,4,4,4,10,2500,4,5,4
8,Pistons Tee,HOMAGE,T-shirt,Gray,All-Star,N/A,3,3,3,3,150,3,4,3,5,500,3,4,4,7,1000,4,4,4,10,2500,4,5,4
9,AW Sweatshirt,All-World,Sweater,Black,Starter,250,4,1,4,3,150,4,2,4,5,500,4,2,5,7,1000,5,2,5,10,2500,5,3,5
9,AW Sweatshirt,All-World,Sweater,Gray,Starter,250,4,1,4,3,150,4,2,4,5,500,4,2,5,7,1000,5,2,5,10,2500,5,3,5
9,AW Sweatshirt,All-World,Sweater,White,Starter,250,4,1,4,3,150,4,2,4,5,500,4,2,5,7,1000,5,2,5,10,2500,5,3,5
9,AW Sweatshirt,All-World,Sweater,Yellow,Starter,250,4,1,4,3,150,4,2,4,5,500,4,2,5,7,1000,5,2,5,10,2500,5,3,5
9,Pivot Hoodie,Puma,Hoodie,White,All-Star,N/A,3,2,5,3,150,4,2,5,5,500,4,3,6,7,1000,5,3,7,10,2500,6,4,8
9,Raptors Tee,HOMAGE,T-shirt,Red,All-Star,N/A,3,4,3,3,150,3,4,4,5,500,4,4,4,7,1000,4,5,4,10,2500,4,5,5
9,Rockets Tee,HOMAGE,T-shirt,Red,All-Star,N/A,3,4,3,3,150,3,4,4,5,500,4,4,4,7,1000,4,5,4,10,2500,4,5,5
9,Spurs Tee,HOMAGE,T-shirt,White,All-Star,N/A,3,4,3,3,150,3,4,4,5,500,4,4,4,7,1000,4,5,4,10,2500,4,5,5
10,AW Flight,All-World,Sweater,Cyan,Starter,275,4,4,2,3,150,4,4,3,5,500,5,4,3,7,1000,5,5,3,10,2500,5,5,4
10,AW Flight,All-World,Sweater,Gray,Starter,275,4,4,2,3,150,4,4,3,5,500,5,4,3,7,1000,5,5,3,10,2500,5,5,4
10,AW Flight,All-World,Sweater,Green,Starter,275,4,4,2,3,150,4,4,3,5,500,5,4,3,7,1000,5,5,3,10,2500,5,5,4
10,AW Flight,All-World,Sweater,White,Starter,275,4,4,2,3,150,4,4,3,5,500,5,4,3,7,1000,5,5,3,10,2500,5,5,4
10,DSG Crazy Ghost,Adidas,Tank Top,Black,All-Star,N/A,3,3,5,3,150,4,3,5,5,500,4,3,6,7,1000,5,3,6,10,2500,5,4,6
10,DSG Crazy Ghost,Adidas,Tank Top,Gray,All-Star,N/A,3,3,5,3,150,4,3,5,5,500,4,3,6,7,1000,5,3,6,10,2500,5,4,6
10,Suns Tee,HOMAGE,T-shirt,Purple,All-Star,N/A,3,4,4,3,150,4,4,4,5,500,4,5,4,7,1000,4,5,5,10,2500,5,5,5
10,Suns Tee,HOMAGE,T-shirt,White,All-Star,N/A,3,4,4,3,150,4,4,4,5,500,4,5,4,7,1000,4,5,5,10,2500,5,5,5
10,Thunder Tee,HOMAGE,T-shirt,Gray,All-Star,N/A,3,4,4,3,150,4,4,4,5,500,4,5,4,7,1000,4,5,5,10,2500,5,5,5
11,Swat Sweatshirt,All-World,Sweater,Black,Starter,300,4,4,3,3,150,5,4,3,5,500,5,5,3,7,1000,5,5,4,10,2500,6,5,4
11,Swat Sweatshirt,All-World,Sweater,Purple,Starter,300,4,4,3,3,150,5,4,3,5,500,5,5,3,7,1000,5,5,4,10,2500,6,5,4
11,DSG Crazy Ghost,Adidas,Tank Top,Navy,All-Star,N/A,3,3,6,3,150,4,3,6,5,500,5,3,6,7,1000,5,4,6,10,2500,5,4,7
11,DSG Crazy Ghost,Adidas,Tank Top,White,All-Star,N/A,3,3,6,3,150,4,3,6,5,500,5,3,6,7,1000,5,4,6,10,2500,5,4,7
11,Timberwolves Tee,HOMAGE,T-shirt,Blue,All-Star,N/A,4,4,4,3,150,4,5,4,5,500,4,5,5,7,1000,5,5,5,10,2500,5,6,5
11,Warriors Tee,HOMAGE,T-shirt,White,All-Star,N/A,4,4,4,3,150,4,5,4,5,500,4,5,5,7,1000,5,5,5,10,2500,5,6,5
11,Wizards Tee,HOMAGE,T-shirt,White,All-Star,N/A,4,4,4,3,150,4,5,4,5,500,4,5,5,7,1000,5,5,5,10,2500,5,6,5
11,NBA Finals '23,NBA Playoffs,T-shirt,Black,All-Star,250,4,1,1,13,300,6,2,1,15,800,8,2,2,17,1400,?,?,2,19,2500,12,4,2
11,NBA Finals '23,NBA Playoffs,T-shirt,Gold,All-Star,250,8,2,1,13,300,10,3,1,15,800,12,5,2,17,1400,?,?,2,19,2500,17,7,2
12,Drawstring Hoodie,All-World,Hoodie,Blue/Gold,Starter,325,5,4,3,3,150,5,5,3,5,500,5,5,4,7,1000,6,5,4,10,2500,6,5,5
12,Drawstring Hoodie,All-World,Hoodie,Gray/White,Starter,325,5,4,3,3,150,5,5,3,5,500,5,5,4,7,1000,6,5,4,10,2500,6,5,5
12,Tiled Drawstring,All-World,Hoodie,Cyan,Starter,325,5,4,3,3,150,5,5,3,5,500,5,5,4,7,1000,6,5,4,10,2500,6,5,5
12,Tiled Drawstring,All-World,Hoodie,Yellow,Starter,325,5,4,3,3,150,5,5,3,5,500,5,5,4,7,1000,6,5,4,10,2500,6,5,5
12,Sleeveless Tee,Adidas,Tank Top,Black,All-Star,N/A,4,3,6,3,150,5,3,6,5,500,5,4,6,7,1000,5,4,7,10,2500,6,4,7
12,Sleeveless Tee,Adidas,Tank Top,Red,All-Star,N/A,4,3,6,3,150,5,3,6,5,500,5,4,6,7,1000,5,4,7,10,2500,6,4,7
12,Sleeveless Tee,Adidas,Tank Top,White,All-Star,N/A,4,3,6,3,150,5,3,6,5,500,5,4,6,7,1000,5,4,7,10,2500,6,4,7
13,Flame Hoodie,All-World,Hoodie,Blue,Starter,350,5,4,4,3,150,5,4,5,5,500,6,4,5,7,1000,6,5,5,10,2500,6,6,5
13,Flame Hoodie,All-World,Hoodie,Red,Starter,350,5,4,4,3,150,5,4,5,5,500,6,4,5,7,1000,6,5,5,10,2500,6,6,5
13,Skull Hoodie,All-World,Hoodie,Green,Starter,350,5,4,4,3,150,5,5,4,5,500,6,5,4,7,1000,6,5,5,10,2500,6,5,6
13,Skull Hoodie,All-World,Hoodie,Purple,Starter,350,5,4,4,3,150,5,5,4,5,500,6,5,4,7,1000,6,5,5,10,2500,6,5,6
13,Skull Hoodie,All-World,Hoodie,Red,Starter,350,5,4,4,3,150,5,5,4,5,500,6,5,4,7,1000,6,5,5,10,2500,6,5,6
13,WBT Sleeveless Tee,Adidas,Tank Top,Black,All-Star,N/A,5,3,5,3,150,5,4,6,5,500,5,4,7,7,1000,6,4,7,10,2500,6,5,7
13,WBT Sleeveless Tee,Adidas,Tank Top,Gray,All-Star,N/A,5,3,5,3,150,5,4,6,5,500,5,4,7,7,1000,6,4,7,10,2500,6,5,7
13,Play Hoops Hoodie,OVERTIME,Hoodie,Yellow,All-Star,400,5,4,4,13,150,6,5,5,15,500,9,6,6,17,1000,15,7,7,19,2500,18,8,8
14,Classic Hoodie,OVERTIME,Hoodie,Black,All-Star,400,3,3,4,13,300,4,5,8,15,800,4,6,16,17,1400,5,7,21,19,2500,5,8,24
Exclusive,AW Contender,All-World,Hoodie,Gray,All-Star,N/A,3,6,4,13,300,4,7,5,15,800,5,8,6,17,1400,?,?,?,19,2500,?,?,?
Exclusive,AW Dynasty,All-World,Hoodie,Black,All-Star,N/A,3,6,7,13,300,4,7,10,15,800,5,8,13,17,1400,?,?,?,19,2500,?,?,?
Exclusive,All-Star Tee,NBA All-Star,T-shirt,Blue,All-Star,250,0,4,0,3,150,0,4,2,5,500,0,4,4,7,1000,2,4,4,10,2500,2,6,4
Exclusive,All-Star Tee,NBA All-Star,T-shirt,Red,All-Star,250,0,4,0,3,150,0,4,2,5,500,0,4,4,7,1000,2,4,4,10,2500,2,6,4
Exclusive,All-Star Long Sleeve,NBA All-Star,Long Sleeve,Black,All-Star,250,4,0,0,3,150,4,2,0,5,500,4,4,0,7,1000,4,4,2,10,2500,6,4,2
Exclusive,All-Star Long Sleeve,NBA All-Star,Long Sleeve,Yellow,All-Star,250,4,0,0,3,150,4,2,0,5,500,4,4,0,7,1000,4,4,2,10,2500,6,4,2
Exclusive,Bucks Playoffs '23,NBA,T-shirt,Dark Green,All-Star,N/A,2,3,1,13,300,3,4,1,15,800,4,5,2,17,1400,4,6,2,19,2500,?,?,?
Exclusive,Cavaliers Playoffs '23,NBA,T-shirt,Maroon,All-Star,N/A,2,3,1,13,300,3,4,1,15,800,4,5,2,17,1400,4,6,2,19,2500,?,?,?
Exclusive,Celtics Playoffs '23,NBA,T-shirt,Green,All-Star,N/A,2,3,1,13,300,3,4,1,15,800,4,5,2,17,1400,4,6,2,19,2500,?,?,?
Exclusive,Clippers Playoffs '23,NBA,T-shirt,Red,All-Star,N/A,2,3,1,13,300,3,4,1,15,800,4,5,2,17,1400,4,6,2,19,2500,?,?,?
Exclusive,Grizzlies Playoffs '23,NBA,T-shirt,Light Blue,All-Star,N/A,2,3,1,13,300,3,4,1,15,800,4,5,2,17,1400,4,6,2,19,2500,?,?,?
Exclusive,Hawks Playoffs '23,NBA,T-shirt,Red,All-Star,N/A,2,3,1,13,300,3,4,1,15,800,4,5,2,17,1400,4,6,2,19,2500,?,?,?
Exclusive,Heat Playoffs '23,NBA,T-shirt,Gold,All-Star,N/A,2,3,1,13,300,3,4,1,15,800,4,5,2,17,1400,4,6,2,19,2500,?,?,?
Exclusive,Kings Playoffs '23,NBA,T-shirt,Black,All-Star,N/A,2,3,1,13,300,3,4,1,15,800,4,5,2,17,1400,4,6,2,19,2500,?,?,?
Exclusive,Lakers Playoffs '23,NBA,T-shirt,Purple,All-Star,N/A,2,3,1,13,300,3,4,1,15,800,4,5,2,17,1400,4,6,2,19,2500,?,?,?
Exclusive,Nets Playoffs '23,NBA,T-shirt,Black,All-Star,N/A,2,3,1,13,300,3,4,1,15,800,4,5,2,17,1400,4,6,2,19,2500,?,?,?
Exclusive,Nuggets Playoffs '23,NBA,T-shirt,Yellow,All-Star,N/A,2,3,1,13,300,3,4,1,15,800,4,5,2,17,1400,4,6,2,19,2500,?,?,?
Exclusive,Timberwolves Playoffs '23,NBA,T-shirt,Lime Green,All-Star,N/A,2,3,1,13,300,3,4,1,15,800,4,5,2,17,1400,4,6,2,19,2500,?,?,?
Exclusive,Lunar New Year '23,N/A,T-shirt,Red,Starter,N/A,1,0,1,3,150,1,1,1,8,500,1,1,2,8,1000,2,1,2,8,2500,2,2,2
