levelAvailable,name,brand,style,color,rarity,price,level1Offense,level1Defense,level1Fitness,level1QuantityRequiredToUpgrade,level1CredsRequiredToUpgrade,level2Offense,level2Defense,level2Fitness,level2QuantityRequiredToUpgrade,level2CredsRequiredToUpgrade,level3Offense,level3Defense,level3Fitness,level3QuantityRequiredToUpgrade,level3CredsRequiredToUpgrade,level4Offense,level4Defense,level4Fitness,level4QuantityRequiredToUpgrade,level4CredsRequiredToUpgrade,level5Offense,level5Defense,level5Fitness
5,Pro Madness 3,Adidas,Shorts,Blue,All-Star,N/A,1,1,2,3,100,1,2,2,5,400,2,2,2,7,750,2,2,3,9,1750,2,3,3
5,Pro Madness 3,Adidas,Shorts,Carbon,All-Star,N/A,1,1,2,3,100,1,2,2,5,400,2,2,2,7,750,2,2,3,9,1750,2,3,3
5,Pro Madness 3,Adidas,Shorts,Red,All-Star,N/A,1,1,2,3,100,1,2,2,5,400,2,2,2,7,750,2,2,3,9,1750,2,3,3
6,AW Cargo Shorts,All-World,Shorts,Black/Yellow,Starter,175,1,1,1,3,100,1,2,1,5,400,1,2,2,7,750,1,3,2,9,1750,2,3,2
6,AW Cargo Shorts,All-World,Shorts,Blue,Starter,175,1,1,1,3,100,1,2,1,5,400,1,2,2,7,750,1,3,2,9,1750,2,3,2
6,AW Cargo Shorts,All-World,Shorts,Red/Blue,Starter,175,1,1,1,3,100,1,2,1,5,400,1,2,2,7,750,1,3,2,9,1750,2,3,2
6,AW Cargo Shorts,All-World,Shorts,White,Starter,175,1,1,1,3,100,1,2,1,5,400,1,2,2,7,750,1,3,2,9,1750,2,3,2
6,AW Cargo Shorts,All-World,Shorts,Yellow,Starter,175,1,1,1,3,100,1,2,1,5,400,1,2,2,7,750,1,3,2,9,1750,2,3,2
6,Duality Shorts,Adidas,Shorts,Gray/Blue,All-Star,N/A,2,1,2,3,100,2,1,3,5,400,2,2,3,7,750,2,3,3,9,1750,3,3,3
6,Duality Shorts,Adidas,Shorts,Gray/Carbon,All-Star,N/A,2,1,2,3,100,2,1,3,5,400,2,2,3,7,750,2,3,3,9,1750,3,3,3
6,Duality Shorts,Adidas,Shorts,Red/Black,All-Star,N/A,2,1,2,3,100,2,1,3,5,400,2,2,3,7,750,2,3,3,9,1750,3,3,3
7,Cargo Pattern Pocket,All-World,Shorts,Blue,Starter,200,2,1,1,3,100,2,1,2,5,400,2,2,2,7,750,2,3,2,9,1750,3,3,2
7,Cargo Pattern Pocket,All-World,Shorts,Gray,Starter,200,2,1,1,3,100,2,1,2,5,400,2,2,2,7,750,2,3,2,9,1750,3,3,2
7,Cargo Pattern Pocket,All-World,Shorts,Purple,Starter,200,2,1,1,3,100,2,1,2,5,400,2,2,2,7,750,2,3,2,9,1750,3,3,2
7,Cargo Pattern Pocket,All-World,Shorts,White,Starter,200,2,1,1,3,100,2,1,2,5,400,2,2,2,7,750,2,3,2,9,1750,3,3,2
7,Cargo Pattern Pocket,All-World,Shorts,Yellow,Starter,200,2,1,1,3,100,2,1,2,5,400,2,2,2,7,750,2,3,2,9,1750,3,3,2
7,S3 STP Shorts,Adidas,Shorts,Black,All-Star,N/A,1,2,2,3,100,2,2,2,5,400,2,3,2,7,750,3,3,2,9,1750,3,4,3
7,S3 STP Shorts,Adidas,Shorts,Blue,All-Star,N/A,1,2,2,3,100,2,2,2,5,400,2,3,2,7,750,3,3,2,9,1750,3,4,3
7,S3 STP Shorts,Adidas,Shorts,Gray,All-Star,N/A,1,2,2,3,100,2,2,2,5,400,2,3,2,7,750,3,3,2,9,1750,3,4,3
8,Blue Stripe Pants,All-World,Pants,Black/Blue,Starter,225,1,2,1,3,100,1,2,2,5,400,1,3,2,7,750,2,3,2,9,1750,2,4,2
8,Orange Stripe Pants,All-World,Pants,Black/Orange,Starter,225,1,2,1,3,100,1,2,2,5,400,1,3,2,7,750,2,3,2,9,1750,2,4,2
8,White Stripe Pants,All-World,Pants,Gray/White,Starter,225,1,2,1,3,100,1,2,2,5,400,1,3,2,7,750,2,3,2,9,1750,2,4,2
8,Yellow Stripe Pants,All-World,Pants,Navy/Yellow,Starter,225,1,2,1,3,100,1,2,2,5,400,1,3,2,7,750,2,3,2,9,1750,2,4,2
8,Pro Bounce 2,Adidas,Shorts,Black,All-Star,N/A,1,2,2,3,100,2,2,2,5,400,3,2,2,7,750,3,3,2,9,1750,4,3,3
8,Pro Bounce 2,Adidas,Shorts,Navy,All-Star,N/A,1,2,2,3,100,2,2,2,5,400,3,2,2,7,750,3,3,2,9,1750,4,3,3
8,Pro Bounce 2,Adidas,Shorts,Scarlet,All-Star,N/A,1,2,2,3,100,2,2,2,5,400,3,2,2,7,750,3,3,2,9,1750,4,3,3
8,Clyde Pants,Puma,Pants,Red,All-Star,N/A,1,2,4,3,100,1,3,4,5,400,2,3,5,7,750,2,4,6,9,1750,3,5,7
9,Halftone Joggers,All-World,Pants,Cyan/Pink,Starter,250,1,1,2,3,100,1,2,2,5,400,1,2,3,7,750,2,2,3,9,1750,2,2,4
9,Halftone Joggers,All-World,Pants,Yellow,Starter,250,1,1,2,3,100,1,2,2,5,400,1,2,3,7,750,2,2,3,9,1750,2,2,4
10,AW Shorts,All-World,Shorts,Black,Starter,275,1,1,2,3,100,1,2,2,5,400,2,2,3,7,750,3,2,3,9,1750,3,2,4
10,AW Shorts,All-World,Shorts,White,Starter,275,1,1,2,3,100,1,2,2,5,400,2,2,3,7,750,3,2,3,9,1750,3,2,4
10,Blue Star Shorts,All-World,Shorts,Yellow/Blue,Starter,275,1,1,2,3,100,1,2,2,5,400,2,2,3,7,750,3,2,3,9,1750,3,2,4
11,AW Patterned Shorts,All-World,Shorts,Blue/Green,Starter,300,1,1,2,3,100,1,2,2,5,400,2,2,3,7,750,3,2,3,9,1750,3,2,4
11,AW Shorts,All-World,Shorts,Orange/Magenta,Starter,300,1,1,2,3,100,1,2,2,5,400,2,2,3,7,750,3,2,3,9,1750,3,2,4
11,Big Logo Shorts,Adidas,Shorts,Black,All-Star,N/A,2,2,2,3,100,2,3,2,5,400,3,3,2,7,750,3,3,3,9,1750,4,3,4
11,Big Logo Shorts,Adidas,Shorts,Gray,All-Star,N/A,2,2,2,3,100,2,3,2,5,400,3,3,2,7,750,3,3,3,9,1750,4,3,4
11,Big Logo Shorts,Adidas,Shorts,Navy,All-Star,N/A,2,2,2,3,100,2,3,2,5,400,3,3,2,7,750,3,3,3,9,1750,4,3,4
11,Big Logo Shorts,Adidas,Shorts,Utility Gray,All-Star,N/A,2,2,2,3,100,2,3,2,5,400,3,3,2,7,750,3,3,3,9,1750,4,3,4
12,Dunk Block Pattern,All-World,Shorts,Blue,Starter,325,3,1,2,3,100,3,1,3,5,400,3,2,3,7,750,3,3,3,9,1750,3,3,4
12,Dunk Block Pattern,All-World,Shorts,Green,Starter,325,3,1,2,3,100,3,1,3,5,400,3,2,3,7,750,3,3,3,9,1750,3,3,4
12,Dunk Block Pattern,All-World,Shorts,Purple,Starter,325,3,1,2,3,100,3,1,3,5,400,3,2,3,7,750,3,3,3,9,1750,3,3,4
13,3Ball Pattern,All-World,Shorts,Blue,Starter,350,3,1,2,3,100,3,2,2,5,400,3,2,3,7,750,3,3,3,9,1750,3,4,3
13,3Ball Pattern,All-World,Shorts,Gray/Beige,Starter,350,3,1,2,3,100,3,2,2,5,400,3,2,3,7,750,3,3,3,9,1750,3,4,3
13,3Ball Pattern,All-World,Shorts,White/Pink,Starter,350,3,1,2,3,100,3,2,2,5,400,3,2,3,7,750,3,3,3,9,1750,3,4,3
13,SweatPants Flame,All-World,Sweatpants,Black/Red,Starter,375,1,3,2,3,100,2,3,2,5,400,2,3,3,7,750,2,4,3,9,1750,2,5,3
13,SweatPants Frost,All-World,Sweatpants,White/Blue,Starter,375,1,3,2,3,100,2,3,2,5,400,3,3,2,7,750,3,4,2,9,1750,3,5,2
13,SweatPants Voltaic,All-World,Sweatpants,Black/Yellow,Starter,375,1,3,2,3,100,2,3,2,5,400,2,3,3,7,750,2,3,4,9,1750,2,3,5
14,Hoop Addict,All-World,Sweatpants,Blue/Yellow,Starter,375,1,3,2,3,100,2,3,2,5,400,3,3,3,7,750,3,3,4,9,1750,3,3,5
14,Hoop Addict,All-World,Sweatpants,Gray/Black,Starter,375,1,3,2,3,100,2,3,2,5,400,3,3,3,7,750,3,3,4,9,1750,3,3,5
14,Sweatpants Fissure,All-World,Sweatpants,White,Starter,375,1,3,2,3,100,2,3,2,5,400,3,3,3,7,750,3,3,4,9,1750,3,4,4
14,Sweatpants Flow,All-World,Sweatpants,Orange/Purple,Starter,375,1,3,2,3,100,2,3,2,5,400,3,3,2,7,750,4,3,2,9,1750,6,3,2
14,Sweatpants Flow,All-World,Sweatpants,Red/Blue,Starter,375,1,3,2,3,100,2,3,2,5,400,3,3,2,7,750,4,3,2,9,1750,6,3,2
14,Sweatpants Splash,All-World,Sweatpants,Black,Starter,375,1,3,2,3,100,2,3,2,5,400,3,3,3,7,750,4,3,3,9,1750,5,3,3
14,Sweatpants Splash,All-World,Sweatpants,White,Starter,375,1,3,2,3,100,2,3,2,5,400,3,3,3,7,750,4,3,3,9,1750,5,3,3
14,Galaxy Shorts,Adidas,Shorts,Blue/Black,All-Star,N/A,3,2,2,3,100,3,3,2,5,400,3,3,3,7,750,4,3,4,9,1750,5,4,4
14,Galaxy Shorts,Adidas,Shorts,Gray/Carbon,All-Star,N/A,3,2,2,3,100,3,3,2,5,400,3,3,3,7,750,4,3,4,9,1750,5,4,4
14,Galaxy Shorts,Adidas,Shorts,Purple/Black,All-Star,N/A,3,2,2,3,100,3,3,2,5,400,3,3,3,7,750,4,3,4,9,1750,5,4,4
14,Galaxy Shorts,Adidas,Shorts,Red,All-Star,N/A,3,2,2,3,100,3,3,2,5,400,3,3,3,7,750,4,3,4,9,1750,5,4,4
14,Classic Joggers,OVERTIME,Pants,Black,All-Star,400,2,4,2,13,150,3,6,3,15,500,5,12,4,17,1000,8,19,5,19,2500,9,21,5
14,Classic Joggers,OVERTIME,Pants,Navy,All-Star,400,2,3,2,13,150,3,4,3,15,500,6,9,5,17,1000,7,14,6,19,2500,8,16,7
Exclusive,Celtics Playoffs '23,NBA,Sweatpants,Green,All-Star,N/A,0,3,2,13,300,1,3,3,15,800,2,3,3,17,1400,2,4,4,19,?,?,?,?
Exclusive,Heat Playoffs '23,NBA,Sweatpants,Gold,All-Star,N/A,0,3,2,13,300,1,3,3,15,800,2,3,3,17,1400,2,4,4,19,?,?,?,?
Exclusive,Lakers Playoffs '23,NBA,Sweatpants,Purple,All-Star,N/A,0,3,2,13,300,1,3,3,15,800,2,3,3,17,1400,2,4,4,19,?,?,?,?
Exclusive,Nuggets Playoffs '23,NBA,Sweatpants,Yellow,All-Star,N/A,0,3,2,13,300,1,3,3,15,800,2,3,3,17,1400,2,4,4,19,?,?,?,?
